term_str,n,n_chars,p,s,i,h
ward,237,4,0.00045691943758422647,2188.5696202531644,11.095772562720114,0.005069874158920566
both,233,4,0.00044920771711866986,2226.1416309012875,11.120329666964093,0.004995337903303958
past,233,4,0.00044920771711866986,2226.1416309012875,11.120329666964093,0.004995337903303958
vast,230,4,0.0004434239267695025,2255.1782608695653,11.139025760673999,0.004939310543184709
gods,229,4,0.0004414959966531133,2265.0262008733625,11.145312023521429,0.00492061063983452
outside,229,7,0.0004414959966531133,2265.0262008733625,11.145312023521429,0.00492061063983452
went,225,4,0.00043378427618755676,2305.2933333333335,11.170734620401337,0.004845689031794075
brought,224,7,0.0004318563460711676,2315.5848214285716,11.177160889560769,0.004826927861215274
sight,224,5,0.0004318563460711676,2315.5848214285716,11.177160889560769,0.004826927861215274
moment,223,6,0.0004299284159547785,2325.9686098654706,11.183615911698068,0.004808154273563006
find,223,4,0.0004299284159547785,2325.9686098654706,11.183615911698068,0.004808154273563006
enough,222,6,0.0004280004858383893,2336.445945945946,11.190099945268267,0.0047893682131549525
kind,222,4,0.0004280004858383893,2336.445945945946,11.190099945268267,0.0047893682131549525
among,221,5,0.0004260725557220002,2347.018099547511,11.196613252226943,0.00477056962380715
half,220,4,0.00042414462560561104,2357.6863636363637,11.203156098093714,0.004751758448827177
make,220,4,0.00042414462560561104,2357.6863636363637,11.203156098093714,0.004751758448827177
young,220,5,0.00042414462560561104,2357.6863636363637,11.203156098093714,0.004751758448827177
took,219,4,0.00042221669548922193,2368.4520547945203,11.2097287520172,0.0047329346310072224
each,219,4,0.00042221669548922193,2368.4520547945203,11.2097287520172,0.0047329346310072224
am,219,2,0.00042221669548922193,2368.4520547945203,11.2097287520172,0.0047329346310072224
myself,218,6,0.00042028876537283276,2379.316513761468,11.216331486841447,0.0047140981126170215
nor,218,3,0.00042028876537283276,2379.316513761468,11.216331486841447,0.0047140981126170215
same,218,4,0.00042028876537283276,2379.316513761468,11.216331486841447,0.0047140981126170215
open,217,4,0.0004183608352564436,2390.2811059907835,11.222964579173894,0.004695248835396671
perhaps,217,7,0.0004183608352564436,2390.2811059907835,11.222964579173894,0.004695248835396671
ones,214,4,0.0004125770449072762,2423.7897196261683,11.243048825217226,0.004638623860056346
land,213,4,0.00041064911479088705,2435.169014084507,11.249806191392535,0.004619722954064385
whole,213,5,0.00041064911479088705,2435.169014084507,11.249806191392535,0.004619722954064385
hill,209,4,0.0004029373943253305,2481.775119617225,11.277156679537491,0.0045439881278513325
get,208,3,0.00040100946420894133,2493.706730769231,11.284076093477282,0.004525021308338249
moon,208,4,0.00040100946420894133,2493.706730769231,11.284076093477282,0.004525021308338249
monstrous,207,9,0.0003990815340925522,2505.753623188406,11.291028854119048,0.0045060411165851015
became,205,6,0.00039522567385977394,2530.2,11.305035712112927,0.004468040357328641
set,205,3,0.00039522567385977394,2530.2,11.305035712112927,0.004468040357328641
form,205,4,0.00039522567385977394,2530.2,11.305035712112927,0.004468040357328641
however,204,7,0.0003932977437433848,2542.6029411764707,11.312090469646877,0.004449019658733163
gave,202,4,0.0003894418835106065,2567.7772277227723,11.326304328866579,0.004410937291048136
turned,202,6,0.0003894418835106065,2567.7772277227723,11.326304328866579,0.004410937291048136
body,198,4,0.00038173016304504995,2619.651515151515,11.355159191538764,0.00433460676958859
head,198,4,0.00038173016304504995,2619.651515151515,11.355159191538764,0.00433460676958859
part,198,4,0.00038173016304504995,2619.651515151515,11.355159191538764,0.00433460676958859
town,196,4,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
voice,196,5,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
look,196,4,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
side,196,4,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
along,196,5,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
lay,196,3,0.00037787430281227167,2646.3826530612246,11.369805967503165,0.0042963575030810644
alone,194,5,0.0003740184425794934,2673.6649484536083,11.384602969431246,0.00425805147201255
air,194,3,0.0003740184425794934,2673.6649484536083,11.384602969431246,0.00425805147201255
sometimes,194,9,0.0003740184425794934,2673.6649484536083,11.384602969431246,0.00425805147201255
close,194,5,0.0003740184425794934,2673.6649484536083,11.384602969431246,0.00425805147201255
hand,191,4,0.00036823465223032595,2715.6596858638745,11.407086983582625,0.004200484708360625
west,190,4,0.0003663067221139368,2729.9526315789476,11.414660203287426,0.00418126676311062
days,187,4,0.0003605229317647694,2773.748663101604,11.437621351730737,0.00412352478214129
dr,186,2,0.00035859500164838024,2788.661290322581,11.445357000510342,0.004104247812464306
go,185,2,0.0003566670715319911,2803.735135135135,11.453134351102062,0.004084955888870024
queer,184,5,0.00035473914141560196,2818.9728260869565,11.46095385556136,0.00406564893052567
